abbiegen,biegt ab,bog ab,ist abgebogen,повертати
backen,bäckt / backt,buk / backte,hat gebacken,пекти
beginnen,beginnt,begann,hat begonnen,починати
beißen,beißt,biss,hat gebissen,кусати
beweisen,beweist,bewies,hat bewiesen,доводити
bewerben (sich),bewirbt (sich),bewarb (sich),hat (sich) beworben,подавати заявку
biegen,biegt,bog,hat gebogen,гнути
bieten,bietet,bot,hat geboten,пропонувати
binden,bindet,band,hat gebunden,зв’язувати
bitten,bittet,bat,hat gebeten,просити
bleiben,bleibt,blieb,ist geblieben,залишатися
braten,brät,briet,hat gebraten,смажити
brechen,bricht,brach,hat / ist gebrochen,ламати
brennen,brennt,brannte,hat gebrannt,горіти
bringen,bringt,brachte,hat gebracht,приносити
denken,denkt,dachte,hat gedacht,думати
empfangen,empfängt,empfing,hat empfangen,отримувати
empfehlen,empfiehlt,empfahl,hat empfohlen,рекомендувати
empfinden,empfindet,empfand,hat empfunden,відчувати
entscheiden,entscheidet,entschied,hat entschieden,вирішувати
erschrecken,erschrickt,erschrak,ist erschrocken,лякатися
essen,isst,aß,hat gegessen,їсти
fahren,fährt,fuhr,ist / hat gefahren,"їхати, керувати"
fallen,fällt,fiel,ist gefallen,падати
fangen,fängt,fing,hat gefangen,ловити
finden,findet,fand,hat gefunden,знаходити
fliegen,fliegt,flog,ist / hat geflogen,летіти
fliehen,flieht,floh,ist geflohen,тікати
fließen,fließt,floss,ist geflossen,текти
fressen,frisst,fraß,hat gefressen,їсти (про тварин)
frieren,friert,fror,hat gefroren,мерзнути
geben,gibt,gab,hat gegeben,давати
gefallen,gefällt,gefiel,hat gefallen,подобатися
gehen,geht,ging,ist gegangen,йти
gelingen,gelingt,gelang,ist gelungen,вдаватися
gelten,gilt,galt,hat gegolten,"діяти, вважатися"
genießen,genießt,genoss,hat genossen,насолоджуватися
geraten,gerät,geriet,ist geraten,потрапляти
geschehen,geschieht,geschah,ist geschehen,траплятися
gewinnen,gewinnt,gewann,hat gewonnen,вигравати
gießen,gießt,goss,hat gegossen,"наливати, поливати"
greifen,greift,griff,hat gegriffen,хапати
haben,hat,hatte,hat gehabt,мати
halten,hält,hielt,hat gehalten,тримати
hängen,hängt,hing,hat gehangen,висіти
